Drate,Denom
13.8,2988
17,445
8.3,168
13.3,263
21.4,1794
11.6,146
17.1,5687
1.2,77
1.2,81
6,66
11.3,938
16.8,895
14.3,439
0,108
6,133
16.1,1749
8.4,118
18,83
4.4,113
9.6,197
5.5,200
11.6,146
11.1,198
19.3,3317
3.5,1430
26.6,879
0,23
5.7,1161
19.3,880
11.4,87
5.8,188
6.2,64
15.8,322
10.7,11209
6.3,1204
26.5,286
18.5,1409
14.4,824
14,50
4.5,308
2.6,76
5.1,58
11.9,2621
16.5,550
34.4,447
21.7,1236
4.4,67
31.9,47
7.4,54
14,250
4.6,430
4.1,817
12.2,49
20.9,7830
11.8,59
14.3,382
32.2,555
13,2859
26.9,989
4.9,541
5.2,96
5.3,4602
14.1,1807
21.5,542
6.9,1170
7.5,53
13.6,566
14.2,456
13.4,373
12.7,516
3.6,604
15.3,1749
20.9,43
17.3,1088
3.2,91
2.8,214
21,1930
33.6,92
13.1,503
4.3,46
11.4,157
4,98
11.9,176
16,2147
18.5,495
16.5,464
13.7,51
6.9,72
7.9,538
14.7,467
8.3,108
23.6,735
20.5,1413
13.3,135
21.7,634
12.4,457
11.6,843
10.3,664
0,49
9.1,87
3.4,117
9.9,934
14.4,1016
10.3,563
17.3,219
10.7,1302
17.5,245
19,457
30.4,368
0,51
11.8,633
8.5,175
0.9,1481
12.9,5601
15.4,1524
6.6,30
9,88
3.9,928
26.4,34
12.5,318
7.1,56
8,75
14.9,677
13.5,5533
13.2,369
10.8,7110
6.1,97
3.5,171
9.3,3928
14.9,194
9,2510
13.1,114
9.5,42
n/a,n/a
7.4,1908
13.3,292
16.6,114
0,192
12.1,624
20.8,1139
12.5,64
13,1122
22.7,1320
18.4,114
23.8,222
30,60
5.6,124
10.7,93
21.8,912
19.7,2465
1.1,178
n/a,n/a
7.8,1305
12.4,937
13.2,2196
13.1,243
3,33
10.4,96
14.9,5293
14.1,156
12.2,2754
6.5,91
9.7,134
3.4,231
5.7,87
16.8,746
10,490
18.1,1281
15.8,1296
12.1,271
11.5,1634
14.7,1453
n/a,n/a
10.7,28
4.2,70
10.5,19
4.8,41
3.3,179
7.2,69
6.2,32
0,61
0,16
5.2,38
5.4,55
5.2,133
0,36
3,33
4.4,67
18.8,1615
11.7,1626
8,62
5.8,68
13.1,38
0,45
0,27
5.2,57
0,38
1.8,109
19.1,193
0,22
15.1,205
18.4,114
16.4,504
16.3,741
1.6,60
19.8,918
14.5,653
16.5,2032
14.4,76
22.7,545
25.7,373
4.9,224
n/a,n/a
2.7,37
1.2,83
13.1,312
11.5,199
10.1,393
14.1,156
24,100
6.9,143
11.9,92
9.2,368
24.6,65
19.2,420
13.5,539
8.8,68
2.2,88
17.9,935
0,36
1.7,58
7.1,11188
15.3,26
13.7,29
2.8,71
15.8,428
5.4,1080
20.7,830
5.5,54
2.3,172
17.3,623
8.6,279
0,32
16.5,1036
3.2,62
14.4,16504
11.1,45
16.6,48
10.6,686
14.9,3441
15.5,585
15.4,2506
2.9,34
8.3,12
2.9,341
13.2,348
1.1,90
9,33
5.5,36
4.7,42
14.1,85
10.1,59
7.7,2413
0,21
18.2,678
12.5,224
6.8,44
9.4,223
23.3,453
16.1,496
20.3,456
2.5,1402
7.9,163
23.7,135
2,100
1.3,153
8.3,36
6.7,354
0,11
6.1,1663
12.3,105
23.1,1384
10.9,1353
19.1,1594
16,100
8.4,296
13.6,586
3.9,1253
21.8,4834
17.6,102
2,49
12.9,1058
2.6,75
3.5,56
13.4,878
16,812
29.9,846
18.8,3845
n/a,n/a
8.1,3773
5.4,74
10.1,246
16.2,727
4,1174
14.9,594
4.3,1430
4.9,2150
1.4,70
2.6,38
8.5,410
10,1638
7.6,522
18.8,1526
16.5,115
n/a,n/a
5.4,37
1.7,56
24.1,87
2.7,37
4.7,21
11.6,403
14.2,1875
27,1666
3.4,88
9.4,381
6.2,32
18.1,22
5.5,18
3.7,27
14.4,1415
11.1,144
3.2,61
6.7,74
31.8,22
4.1,96
20,60
20.1,3240
12.8,2249
18.8,1318
18.4,141
1,94
18,133
0,41
6.1,49
22.5,71
12.6,103
13,84
11.6,1997
13.6,5770
0,14
5.3,10065
6.7,103
20.5,73
16.1,1884
9.5,1505
7.7,154
10.8,37
12.5,1647
6.9,129
22.7,237
23.8,113
8.5,70
7.9,226
1.3,73
18.8,122
9.9,1644
4.4,3128
6.1,3370
15.8,2545
3.5,199
14.8,3282
1.6,185
14.6,3683
10,209
10.7,214
25.3,800
0.6,490
4,687
1.5,191
14.5,103
17.5,137
0.8,603
5.1,39
15.4,493
29.7,3937
13,84
3.4,3448
0,39
3.7,377
3.3,451
16.3,55
8.4,166
10.8,46
15.5,129
15.3,319
13.8,1332
15.6,961
18.9,27453
n/a,n/a
13.7,452
0,75
8.5,931
9.3,1110
18.7,486
17.5,1698
27,111
11.4,245
15.3,222
0,112
11.2,257
20,55
14.3,410
12.1,115
24.6,223
9.8,51
0.6,309
13,605
16.7,1046
5.4,110
9.5,642
8.9,67
7,85
12.1,511
17.1,789
2.7,73
4.9,61
n/a,n/a
2.9,67
8.6,717
5.6,125
11.1,18
6.6,7396
2,48
14.7,136
5.3,93
6.4,2787
6.1,49
7.5,145
19.6,16512
2.5,1671
6.2,64
5.7,260
1.8,55
1.5,131
5.9,67
16.4,559
16.2,1431
22.5,1234
1,91
0,12
14.6,1024
12.3,5230
n/a,n/a
13.3,30
4.3,412
12.5,80
7.6,261
7.3,95
7.6,3380
21.4,2285
8.5,47
0,13
0.3,310
16.6,48
21.6,4867
25,4694
20.2,542
13.7,595
3.9,252
5.9,2673
15.6,1303
20.1,1608
17.6,2085
2.5,1717
9.4,999
9.2,810
17.7,107
28.3,282
7.2,55
27.6,170
9.8,335
0,25
14.7,359
5.8,17
18.1,44
6.6,30
8.1,271
20.1,1358
13.7,888
11.5,1966
0,20
2.2,131
27.5,795
1.5,443
0,26
0,17
6.9,86
12.8,1924
11.8,3130
6.9,304
5.3,299
0,20
3.8,26
0,25
5.8,86
0,32
21.3,61
7.5,133
28,50
13.8,10601
6.8,73
10.7,1264
0.9,1398
0,76
14.2,14
6.5,46
15,3193
3.8,77
17.6,34
8.6,92
10,30
6.5,614
11.2,36680
12.5,502
16.6,66
25.8,85
23,117
27,2429
n/a,n/a
8.6,23
9.1,175
9.7,103
4.1,73
17.7,62
27.7,18
6.4,154
2.8,211
27.9,887
3.1,439
18.8,609
10.3,135
6.2,48
n/a,n/a
n/a,n/a
21.8,366
11.5,243
26.1,5833
12.4,153
2.5,40
12.1,820
0,28
0,76
9.7,988
7.3,960
6,33
7.5,79
17.1,35
8.4,153
12.7,251
n/a,n/a
7.1,183
15,1776
11.8,660
n/a,n/a
10.3,77
17.8,1654
0,18
n/a,n/a
n/a,n/a
n/a,n/a
n/a,n/a
3.4,29
3.2,61
7.1,14
0,17
n/a,n/a
n/a,n/a
0,19
0,15
n/a,n/a
5.8,17
0,16
n/a,n/a
23.4,1195
3.8,26
5,20
13.8,36
7.6,1795
5,178
3.3,809
14.4,222
15.3,10573
22.9,109
8.3,2948
5.7,1878
13.7,501
16.3,1205
24.1,153
9.6,801
18.6,360
n/a,n/a
1,187
1.2,78
1,100
5.5,6770
12.2,2847
0,16
18.3,191
13.5,243
16.1,142
12.2,163
11.4,61
2.9,34
4.4,89
18,72
0,32
5,119
13.6,382
20.9,43
5.5,36
6.4,9530
2.6,2030
14.7,983
27.3,150
10.5,151
0,12
3.9,604
7.4,27
5.7,70
9.5,503
3.6,573
4.1,1618
2.9,34
6.6,3858
7.6,13
13.4,1796
0,170
8.3,72
19.6,56
8.2,713
0,27
4.8,62
8.5,35
4.3,23
6.8,408
17,100
12.7,228
13.2,1072
24,216
n/a,n/a
4.6,235
17.7,788
5.8,119
11.4,183
0,44
3.5,57
1.8,222
18.3,196
10.8,4564
2.2,45
7.5,119
12.2,295
6.2,96
8.1,269
12.1,181
13.1,91
17.7,152
7.3,68
n/a,n/a
14.2,175
6.4,154
5.8,222
n/a,n/a
14.6,776
9,199
6.1,49
3.8,415
17.1,982
13.3,360
5.7,52
3.5,28
2.5,40
2.9,34
2.7,36
3.2,31
12.6,71
n/a,n/a
28,57
16.7,419
7.6,13
0,34
1.6,238
7.4,134
15.8,82
1.9,777
2.2,179
2.5,237
1.7,284
0,21
n/a,n/a
4,74
6.6,45
1.9,104
3.1,32
0.7,388
19.1,831
2.9,309
7.2,83
3.2,2012
11.3,115
3.7,81
16.3,478
10.7,121
8.7,6130
8.2,352
6.3,547
0,37
5.6,1066
21.7,717
11.1,18
14.1,248
11.2,257
2.6,38
3.3,271
14.1,92
14.7,2998
16.1,2198
13.5,199
14.1,1707
2.5,983
16.4,506
2.6,300
14.1,1772
5.8,68
18.6,578
0,30
0,44
6.6,30
10.6,75
0,19
20.3,103
17.8,483
7.5,66
0,15
14.7,34
16.2,179
12,75
23.9,927
5.7,661
4.7,85
n/a,n/a
11.4,61
18.6,974
16.2,86
6.4,31
11.3,601
17.3,115
2.7,37
11.1,99
20.6,63
12.5,656
0,15
8.9,56
21.8,917
6.6,60
12.9,162
24.6,77
11.3,106
16.3,488
7,613
19.5,123
14.5,15142
10.9,55
0.9,108
16,280
1,276
24.5,61
0,37
5.4,74
20.5,39
9.7,113
5.4,74
10.3,116
7.3,1201
3.9,126
9.3,86
15,359
2.5,79
29.7,306
13.3,570
0,23
9.2,32938
39.5,91
2.5,579
14.3,216
19.5,3168
11.3,79
7.3,176
11.4,70
19.1,516
7,128
6.5,76
10.1,118
7.3,122
24.7,465
0,78
4.1,362
4,50
25.9,108
5.7,2111
3.1,287
5,320
10.2,196
6,100
25.9,5464
4,1521
4.4,68
11.4,227
11.2,312
26.1,2517
9,33
23.1,432
8.1,751
13.3,4408
18.4,1136
3,100
7.7,232
11.9,518
n/a,n/a
10.2,49
16.2,962
13.2,1803
15.8,158
14,100
0,17
8,25
27.3,329
22.3,94
5.3,112
14.1,445
0,12
3.2,62
2.9,34
16.2,783
7,57
2.4,123
2.6,149
6.6,181
14.3,993
11.1,54
9.9,353
8.5,175
12.5,56
1.9,103
3.4,29
0,44
1.6,236
3,33
9.8,598
11.3,79
0,26
12.3,139070
3.4,29
11.1,959
24.4,1217
8.7,1026
11.4,574
15,4069
20.9,2564
7.8,444
1.6,59
5.5,72
3.3,89
35,1519
8.8,45
2.3,344
5.3,186
2.3,42
12.5,272
3.1,63
16.5,940
1.8,108
14.3,1025
4.7,417
0,13
10.2,272
13.1,591
17.1,35
13.4,104
7.9,63
9.7,380
9.6,93
19.8,11403
6.2,48
12.6,245
n/a,n/a
10,20
17.4,1935
0,13
15.8,82
17.1,2477
4.1,215
0,75
5.9,301
11.3,88
12.8,39
9.6,52
0,52
2.4,163
19,3747
16.4,140
11.6,428
11.7,51
5,120
20.1,119
5.3,130
2.1,47
4.5,154
8.9,67
19,205
13.2,53
0,32
16.2,1065
21.4,514
18.4,38
1.1,176
20.5,594
20,698
14,50
n/a,n/a
5.1,39
19.6,51
5.5,358
26.6,30
4.6,64
1.8,215
20,65
1.5,133
3.1,96
19.1,99
21.9,273
4.8,2429
0,11
3.3,30
4.5,197
4.7,42
10.5,57
7.6,197
8.1,49
10,40
10.7,158
25.5,47
27.1,847
10,70
6.4,31
n/a,n/a
7.5,290
2,143
1.4,67
11.2,10442
10.6,225
13.5,37
5,118
5.6,89
4.4,1497
25,96
2.8,35
18,1308
3.3,59
10.2,49
8.1,37
20.1,3521
21.3,760
7.9,63
3.7,53
7.2,138
7.3,95
6,99
10.3,126
8.5,480
0,59
8.2,121
10.3,97
0.5,175
13.3,30
2.5,392
2.9,67
14.2,70
19,508
7.4,351
18.7,32
n/a,n/a
7.2,55
27.2,463
14.6,75
7.8,64
11.7,34
14.5,411
10.6,131
7.8,203
6.2,677
20.5,78
12.1,404
12.3,65
13.6,1593
15.9,88
4.1,168
6.4,108
3.5,85
47,51
20.4,4098
0,14
9.8,71
17.2,602
18.5,248
11.5,191
6.9,129
15.5,19780
22.1,748
19.3,351
6,33
17.3,127
32,78
7.5,1112
7.2,291
3.6,111
9.1,87
8.3,72
10.9,55
n/a,n/a
5.7,87
6.6,30
8.9,56
0,34
9.2,195
0.3,252
2.9,101
15,2310
n/a,n/a
15.1,191
6,2441
1.8,55
14.4,215
11.7,17
5.7,35
14.5,281
20.3,280
n/a,n/a
14.6,75
16.6,48
3.5,56
8.5,35
16.6,42
5,20
25.5,684
12.1,99
6.5,76
25.6,191
6.2,32
17.9,1216
4.7,189
14.7,333
9.4,53
14.1,155
12.3,252
15.2,170
5.2,497
8.6,150
11.9,42
0,17
22.9,157
6.1,49
0,90
14.7,68
9.2,54
8.3,96
5.4,128
0.5,194
n/a,n/a
7.9,6993
17.6,113
13.9,754
17.1,99
12.5,2699
14.6,1934
23,13
13.8,1196
12.6,71
3.9,153
10,30
4.3,93
2.7,72
9.4,74
20.8,623
4.7,42
10.7,140
15.3,91
15.8,353
16.6,72
3.1,128
3.3,60
0,36
20.1,507
14.8,310
1.3,370
0,71
3.7,27
10.3,58
1,882
14,50
6.2,48
8.1,122
3.1,63
26,50
1.1,87
29.7,1183
22.1,564
17.5,165
9.8,162
3,66
5.9,2960
13.5,59
1.8,267
16.6,90
41.7,134
1,398
11.5,1912
33.3,30
14.1,141
0.9,1091
26.4,631
8,87
21.2,1495
8.6,46
14.4,104
12.5,16
13.7,306
17.3,156
4.4,225
10.8,148
9.5,84
15.9,88
18.5,200
14,150
24.6,154
9.3,235
24.7,3085
4.6,65
2.9,170
27.3,1290
7.6,52
5.7,35
17.8,196
5.2,96
10.5,85
4.3,91
2.5,158
28.5,42
7.5,79
6.6,45
6.7,177
12.5,707
7.6,39
n/a,n/a
n/a,n/a
20.7,569
10.4,86
0,20
3.3,90
3.7,27
8,62
4.5,22
4.7,106
15.4,428
14.5,124
16.1,31
5.8,85
0.9,101
14.1,1687
12.6,174
1.8,55
0.7,383
16.6,518
27.5,69
16.2,746
19,215
7.8,51
14.4,83
13.1,91
7.9,23686
7.9,23686
24.5,1877
6.2,96
9.5,304
10.4,96
1.9,102
11.3,292
2,146
13.1,433
17.1,111
10,2121
6,66
8.6,58
19.7,243
25.9,608
9.6,62
14,750
4.1,73
4.3,23
n/a,n/a
7.5,40
18.4,417
16.9,59
1.4,69
16.6,36
0,31
25.9,1352
1.8,159
10,120
18.6,86
6.4,31
5.7,437
14.1,5144
16.9,59
23.6,584
24.3,111
20.6,16435
0,40
8,50
14.9,302
9.5,42
9.4,53
18.1,640
6.7,59
4.6,64
16.8,101
14.3,132
11.7,34
24,523
3.5,56
14,271
3.7,216
9.6,52
10.5,770
20.3,118
0.9,108
6.1,49
0,13
7.8,115
15.1,323
4.1,72
0,43
2.7,73
3.6,109
5.8,51
30,586
15.7,514
13.1,137
6.9,259
4.8,41
0,49
2.7,36
16,873
12.7,110
7,114
2.5,80
2.6,38
7.5,66
4.5,66
17.8,28
9.2,54
9.7,41
17.4,1660
1.3,382
12,133
10.8,1128
0,11
45.4,33
0,32
15.4,123
9.2,54
8.7,241
5.6,89
10.1,187
7.5,40
9.2,76
4.9,425
16.2,43
8,50
n/a,n/a
37.8,74
15.8,63
23.1,16744
7.9,615
10.3,154
22.2,1218
4.8,249
10.9,319
21.2,202
15.8,63
19.3,918
3.3,417
5.1,77
17.1,396
20.2,99
5.8,51
12,83
13.3,60
11.1,144
2.5,119
26,836
5.6,160
12.5,40
7.8,191
6.9,72
13,176
0,81
14.8,404
0,57
5,80
5.5,18
13.8,311
1.8,53
16,3788
21.4,1069
17.4,2953
12.7,9030
19.5,46
10.2,39
21.1,52
0.5,197
0.5,167
2.9,473
0,78
2,150
0.4,906
19,1058
15.9,113
7.2,97
7.2,69
32.8,152
0,31
21.9,660
13.7,583
5.4,74
22,50
3.4,234
8.4,118
4,74
12.8,366
9.5,178
7.3,22937
5.7,140
13.4,3268
30,30
12,58
11.1,1063
6.3,63
11.4,70
18.4,76
17.6,34
8.9,78
17.1,269
0,53
8.8,90
3.1,64
5.3,168
11.1,54
16.3,214
6.5,276
10.9,137
13.7,102
4.9,182
6.1,97
7.4,121
10.9,266
32.1,137
9.2,119
10.1,688
27.1,70
11.1,63
9.1,957
3.9,127
0,14
22.9,764
0.7,130
20,513
25,68
13.6,95
10,548
8.4,95
15.3,39
14,706
11.7,153
22.7,79
6,115
16.7,329
17.1,1369
15,60
10.6,575
3,132
7.3,82
17.2,573
11.1,27
8,100
0,34
7,157
37.5,144
9.6,1013
6,50
25.2,514
21.2,924
17,94
0,51
24.1,62
7.6,78
16.7,161
11.5,78
3.8,52
13.5,206
2.1,95
8.6,299
10.6,47
4.6,65
17.9,324
21.7,413
10.9,383
14.3,2440
16.2,1174
6.2,80
4.3,114
4,49
6.1,49
3.7,162
n/a,n/a
14.9,147
6.5,76
5.5,126
19.5,487
3.8,103
14.2,35
10.4,410
10.5,38
6.8,145
25.7,2966
16.9,206
26.8,41
8,187
9.7,41
14,149
13.6,2753
9.7,133
12.4,379
10.9,137
9,121
2.7,181
9,44
10.4,173
29,31
4.4,45
14.7,210
17.5,2453
12.1,875
8.3,203
15.1,99
28.1,635
7.7,3427
5.4,73
3.2,62
5,20
15.1,772
2.6,115
4.1,24
3.4,147
32,882
10.3,693
13.8,36
9.8,61
3,265
4.7,105
12.5,288
25.9,5464
5.7,105
9.6,249
17,1669
14.6,41
6.6,30
14.4,159
13,168
3.2,91
5.2,96
8.4,154
16.6,96
6.5,46
6.2,80
7.5,93
0,54
19.4,72
16.3,293
10.3,154
0,22
3.9,76
6.7,134
17.1,216
4.4,90
31.7,2552
2.3,42
17.9,67
15.5,45
21.3,454
1.1,86
17.2,1093
11.1,63
8.8,68
25,48
7,57
2.3,85
9.5,42
15.9,489
2.6,75
20.1,744
2.4,575
12.9,77
8.9,56
14.9,569
9.2,65
22.8,83
9.3,544
20.4,14360
37.8,37
23.1,1391
4.4,2083
24.5,200
18.5,242
18.8,101
7.6,65
n/a,n/a
5.9,84
18.8,69
13.9,136
9.3,215
24,50
6.7,222
17.9,451
9.7,41
27.4,51
16.6,126
0.9,210
6.3,63
9.4,116
0.9,426
5.1,39
7.3,488
13.3,6663
23.8,63
11.3,53
8,435
13.4,82
n/a,n/a
6.6,30
17.4,910
20.4,1944
5.3,354
0,48
22.8,57
9.7,41
14.9,463
19.1,825
14.2,175
22.7,2550
14.6,75
2.9,405
13.2,1168
11.8,288
13.8,564
6.6,30
19.5,763
7.4,216
3.8,52
3.1,32
19,100
1.6,121
10.2,78
4.9,201
11.7,34
10.2,195
6.8,58
4.4,67
5,840
15.9,1839
9.4,117
11.4,2814
5.1,78
7.3,245
13.6,403
20.4,181
14.7,387
5.3,75
21.1,1280
6.9,86
26.7,382
7.4,108
1.6,238
1.1,85
18.6,658
2.4,326
14.5,1645
8.5,105
7.6,13
6.4,156
6.1,146
0,57
12.9,277
18.1,33
13.6,132
6.3,79
24.2,136
25,56
10.1,304
10,30
12.7,235
0,45
17.2,4020
9,2282
13.6,573
20.8,48
0,54
22.4,214
12.5,32
35.2,17
9.7,41
9.4,95
17.7,192
22.6,75
2.2,44
6.8,88
0.5,783
3.9,1690
5.2,19
6.1,49
0,20
23,65
3.2,62
10.5,38
0,87
15.2,2625
5.5,18
10.3,29
5.8,34
4.2,469
18.3,131
16.6,126
0,53
2,49
13.7,51
17.4,366
14.7,265
6.6,15
3,66
13.4,469
11.4,157
5.8,324
2.5,40
11.3,893
27.7,18
18.9,280
12.8,117
5.2,95
7.2,55
9.3,75
0,24
5.8,68
7.4,54
6,33
3.5,141
28.6,544
15.5,122
4.1,504
19.7,480
3.3,632
4.3,138
2,99
21.4,728
11.8,589
6.4,326
10.6,66
10,40
35.7,28
15.3,189
3.4,29
2.7,37
14.2,42
16.7,996
3.9,277
13.4,179
20.5,832
15,280
6.4,62
5.6,677
34.2,1291
16.4,97
25,32
2.4,41
4.8,41
21.4,592
5,139
0,220
16.3,380
11.8,1038
6,330
12.9,301
5,100
3.6,329
13.6,139
4.7,273
15.2,256
13.4,1251
10.3,77
6.2,32
2.1,184
24.4,441
2.5,80
n/a,n/a
25.1,378
5.8,34
17.3,75
1.1,84
21.6,314
20.6,1714
3.7,54
15.6,51
8.3,12
0,43
17,41
8.5,480
0.6,433
2.2,227
25,100
5.7,87
2.9,34
16.2,504
11.5,182
5.4,37
2.1,139
6.4,62
7.8,64
20.4,83
4.1,24
16.7,179
21.1,52
14,114
0,81
7.5,437
5.9,184
14.8,27
7.5,53
5.2,153
5,357
2.2,90
9.1,174
11.8,118
5.5,2483
5.5,1472
7.3,41
8.8,68
6.5,18035
29.4,658
0,15
16.3,104
13.8,36
20.5,73
0,34
18,72
23,39
4.5,22
5.6,89
0,42
17.1,2302
18.9,496
n/a,n/a
10.9,174
0,17
13.7,175
4.3,69
3.1,32
16.6,90
5.2,190
9.5,136
0,79
0,40
11.7,34
2.9,34
n/a,n/a
8.4,333
5.5,54
10,70
10.3,58
6.8,29
n/a,n/a
4.1,15008
4.2,561
11.1,36
n/a,n/a
0,20
6.6,30
0,20
n/a,n/a
3.2,62
7.7,207
18,1831
2.5,79
3.3,178
24.1,244
7.3,122
3.8,916
15,2499
7.2,137
9.3,825
10,70
2.5,625
11.5,234
15.5,154
17.5,148
27.9,154
15,239
2.9,102
11.3,167
17.9,67
1.5,65
5.1,39
27.7,18
17.8,1695
11.8,135
12.3,585
2.5,78
14.4,263
4.2,586
16.5,471
15.3,449
2.3,42
2,50
3.5,56
9.2,54
23.9,96
14,250
0,16
0,63
4,399
5.2,96
3.7,107
2.7,74
19.5,92
26.6,15
21.8,448
17.9,89
0,15
0,47
1.1,84
13.7,393
7.6,169
17.1,64
11.1,18
5.6,53
3.6,55
17.6,1261
5.8,224
11.6,344
12.5,88
2.5,39
n/a,n/a
23.2,1981
n/a,n/a
n/a,n/a
0,70
6,33
n/a,n/a
2,99
11.6,181
5,59
0,13
5.8,120
6.6,30
11.7,34
6.4,78
15.4,413
0,58
8,25
11.3,176
3.7,53
14.8,108
22,290
2.9,34
14.8,607
20.1,119
31.2,374
7.6,1278
9,33
11.9,8687
13.4,341
2.1,138
10.6,131
0.8,118
n/a,n/a
14.5,55
18.1,33
8.9,56
9,122
14.4,180
12.5,32
1.2,81
n/a,n/a
5,99
16.3,159
9,11
13.9,487
12,589
5.2,38
6.4,31
29.2,205
2.3,43
13.7,277
0,12
18,61
14.7,61
3.8,104
10.6,47
4.3,209
21.3,687
5.2,246
8.1,712
15.2,275
1.3,74
1.3,143
21.6,111
2.7,181
4.6,213
12.7,141
17.5,222
12.9,54
0,28
20.6,184
n/a,n/a
3.2,62
3.5,167
50,14
10.1,89
19.5,87
27.3,95
n/a,n/a
5,20
0,16
2,48
4.8,82
1.9,152
7.4,54
0,42
9.6,114
7.2,69
8.9,290
2.7,1884
16.3,116
2.4,41
12.7,204
0.5,188
17.4,103
8.6,92
14.1,191
2.3,216
5.8,34
14.7,223
8.1,61
12.7,2192
5.5,36
11.3,44
5.8,51
3.2,31
14.9,87
20.3,64
9.8,162
16.6,12
9.1,109
21,304
8.3,96
12.4,129
1.6,62
6.8,58
19.7,71
19.4,226
n/a,n/a
8.2,97
9.5,261
9.8,51
16.4,261
5.8,51
0,65
3.1,188
24.6,69
21.9,73
9,110
26.4,102
18.7,1213
11.2,2587
16.5,452
7.2,137
20.3,452
15.5,129
10.5,57
5.4,55
36,183
5.3,3827
6.4,31
0,49
10,249
8.6,46
n/a,n/a
23.8,21671
9.2,65
15.1,33
35.5,59
2.6,38
13.8,65
5.4,37
34.5,678
31.8,91
1.1,85
2.8,107
2.1,95
16,193
14.4,173
0,17
12,50
18.9,95
n/a,n/a
n/a,n/a
0,53
17.7,45
26.4,121
6.3,47
6,66
0,19
4.5,44
14,171
0,48
0.6,147
17.7,124
29.1,48
18.6,118
17.1,64
17.2,232
4,50
3,523
17.6,181
12.9,54
8.3,12
8,149
25.3,1007
15.9,144
16.6,30
9,99
15.3,130
5.9,842
34.4,90
5.4,164
14.7,122
11.6,43
19.5,87
0,67
12.3,260
8.6,312
0,50
15.4,84
2,49
16.5,242
20.3,753
9.4,116
22.2,620
7.8,38
21.2,94
24.8,141
3.8,334
11.1,152
15.2,72
16.1,1173
15.2,59
6.4,139
4.7,1188
13.5,229
0,115
9.8,71
10,40
13.7,51
3.5,1056
11.7,51
6.6,15
8.4,403
8.4,59
4.1,72
5,59
5.8,34
16.9,71
10.9,91
9.6,31
10.7,233
11.4,219
13.9,43
8.7,194
9,77
10.4,201
0,35
4.3,23
0,30
22,77
4.7,85
0,67
16.4,85
34,97
22.1,1205
4.3,91
12,671
12.6,87
24.7,1079
21.6,988
30.2,43
13,443
0.8,125
21.9,679
16,87
0,53
23.2,15704
8.1,296
6.6,45
12.5,40
0.9,430
0,40
31,357
2,48
4.9,101
0,29
11.4,1253
15,20
2.5,39
5.7,173
15.6,96
8.4,118
13.1,182
10.6,113
5.6,250
21.6,37
7.2,137
1,187
15,113
2.8,276
13,100
18.5,113
8.3,48
13.3,90
28.6,185
9,66
18.3,191
6.7,104
5.4,37
11.4,719
0,33
19.2,52
23.2,56
10.8,369
0,13
0,26
8.1,148
28.8,52
13.7,312
11.3,274
50,46
16.1,124
9,33
18.6,129
2.2,44
15.2,151
6.9,286
25,128
0,35
5.3,93
20.1,432
15.2,197
10.2,98
16.3,98
24.3,201
12.1,115
0,23
9.3,4886
9,33
22.7,5171
10.4,67
28.2,39
25.3,189
4.2,163
n/a,n/a
10.7,112
12.5,40
25,64
9.8,122
13.7,58
11.6,103
3.9,1255
2.7,72
10.6,94
6.7,74
3.2,593
3.7,885
10.6,75
2.6,454
10.2,39
4.8,41
12.2,352
29.8,87
25.1,163
13.7,131
6.8,102
0,69
17.8,73
14.2,49
10.9,55
11.5,173
14.2,35
10.5,38
1.2,462
4.6,1020
6.1,65
27.1,70
29.2,82
7.7,103
12.9,62
3.2,91
13.9,93
20.7,101
2.4,1413
5.1,58
11.1,405
0,33
16.3,98
30.3,33
3.2,62
4.8,41
0,31
9.7,134
14.6,327
11.3,44
31.5,38
2.9,67
38.8,36
13.6,110
16.6,258
2.4,41
9,88
0,53
11.8,93
25.3,63
6.2,32
10.3,106
32.6,46
19.7,162
16.3,49
2.5,118
4,123
19.1,428
2.8,35
18.6,75
20.3,226
3.8,78
1.4,680
0,30
12.4,2401
10.5,38
1.4,71
0,61
17.3,75
1.9,51
3,323
11.1,36
5.4,74
13.2,83
12.8,70
31,58
20,55
1.8,53
7.7,90
10.6,103
12.5,96
21.6,74
3.7,27
0,45
12.1,41
11.7,136
5.3,132
14.6,109
13.1,182
11.8,93
12,108
19.2,161
20.2,99
17.5,97
9.8,112
22,100
6.4,31
1.7,349
12.7,55
16.6,66
4.8,41
0,55
13.1,198
11.8,110
12.6,182
2.2,90
14.6,41
27.8,61
35.8,53
17.1,64
10,90
36.1,36
9.1,87
5.3,169
0.6,143
18.5,216
2.4,83
13.1,38
13.1,281
6.3,284
24.4,49
14.5,62
5.8,119
12.9,31
13.2,53
21.1,52
12,75
17.8,224
13.3,60
4.1,72
11.7,162
8.2,109
0,22
3.8,104
9.2,76
27.4,51
10.7,28
7.4,27
10.9,165
10.5,57
4.5,44
16.7,429
25.3,67
4.8,62
13,168
11.7,68
13.5,162
5.1,97
2.8,35
1.2,78
10,30
10.8,37
15.7,38
11.3,158
7.4,67
4.6,171
5.1,2619
4.1,48
0,23
4,49
5.4,74
20.5,544
4.2,118
8.2,219
8.6,81
11.2,62
10.3,126
12.2,90
14.5,48
12.2,49
6.5,46
22.2,108
6.7,164
16.4,91
1.5,64
16.9,71
15,160
22.5,62
8.5,82
12.1,33
23.9,92
10.7,196
9.8,274
0,92
18.2,104
7.5,53
13.1,183
15,40
10.7,84
4.8,83
13.1,38
7.5,66
