Drate,Denom
7.2,946
12.3,1582
8.7,1833
8.7,1747
3.1,410
5.1,820
5.6,5978
4.3,46
6.8,175
2.6,5377
8.8,3131
8.1,2930
0.9,412
5.2,834
13.5,413
5.2,363
1.7,291
2.8,392
7.3,693
0.6,1659
3.8,1076
23.2,3205
6.3,206
6.9,462
7.7,1130
19.3,704
4.6,412
2.1,367
1.7,349
0.8,462
3.6,299
16.7,453
6.2,32
2.8,354
1.8,1097
20.5,409
14,749
22.1,2278
9.6,768
5.7,754
2.4,250
3.4,5940
6.9,258
4.3,435
1.8,579
20.3,471
16,820
4.6,563
3.5,539
13.5,40148
3.6,354
3.3,510
4.3,983
3.9,3067
9.3,661
2.6,5118
9.1,2228
9.7,533
6.6,480
2.1,95
12.3,697
15.6,593
6.1,1257
4.8,1106
12.1,239
8,186
17.3,2169
27.7,375
13,491
7.9,290
9.4,295
13.2,211
8,161
6.3,2755
21.4,584
12,75
8,890
6.6,315
7.7,219
17.5,746
6.6,1030
11.9,168
9.6,1374
8.4,1828
7.2,1471
4.9,4612
7,271
13.1,206
9.8,102
11.2,276
6.4,404
7.6,1542
14.4,416
5.9,585
6.2,531
5.4,442
8.5,281
5.3,297
5,5175
11.1,2111
7.4,3353
10.1,168
7.5,515
2.8,245
3.9,858
7.9,188
8.4,296
15.9,1027
5.1,738
3.2,247
6.7,1691
11.2,4606
6.5,489
11.2,196
17.2,917
11.3,256
2.4,41
9.6,933
4.3,69
8.1,567
10.6,2513
10.6,2391
27.1,1255
12.8,498
2.6,265
12.8,521
4.5,5072
30.5,1009
21.2,1899
28.5,473
20.7,873
28.2,1034
26.4,2397
34.8,772
6.8,4504
7.1,448
9.5,5184
4.9,182
13.4,447
11.1,1645
16.1,1813
8.3,430
6.5,1457
3.9,4124
10.2,586
12.9,681
7.8,993
0.4,686
7.5,1868
6.5,1137
9.9,1795
5.5,1618
9.7,2258
7.6,342
6.7,3118
8.8,2227
16.2,1035
4.6,2135
6.7,2796
8,908
13.8,311
2.9,171
1.7,171
2.6,187
7,691
8.3,251
7.9,1092
2.4,242
2.5,1650
2.9,717
11.4,315
6.7,2475
6.2,2321
16.8,196
20,968
11.7,1755
11.8,1606
16.5,3020
13.5,761
4.5,549
10.5,369
17,1094
11.7,519
9.4,1387
3.1,387
16.8,1105
8.9,346
4.3,524
1.1,2925
2.5,1149
4.1,524
15.9,2183
2.5,516
16.4,2403
3.6,1954
2.1,142
4.9,141
2.3,343
4.2,4522
8.2,1918
2.1,5054
1.4,1564
4,2375
13,1214
7.2,1146
2.9,344
3.8,516
5.8,1047
3.3,151
1.6,59
7.4,498
3.4,696
1.9,608
1,493
5.9,970
7.4,631
1.1,939
6.2,1016
1.2,2229
1.2,5541
1,917
3.1,598
5.6,493
0.2,470
7.5,887
17.5,457
9.3,344
2.3,1007
3.7,593
2.1,874
15.3,728
18.5,285
2.5,429
0,34
1.2,2146
3.3,30
5.3,694
3.9,1580
5.1,3585
1,92
2,1633
17.9,467
14.8,317
14,427
13.2,1236
12.7,834
14,1098
12.7,1303
14.4,1111
14.9,2434
13.5,1486
11.7,890
1,648
4.8,490
2,348
5.3,2757
6.3,1174
4.6,1192
7.4,500
6.4,2096
3.8,1712
5.3,1295
0.7,388
2.6,151
7.6,442
2.4,5330
16.6,108
14.1,958
5.2,533
1.9,1336
1.9,631
7,2203
7.1,1916
2.1,615
4,2233
1.6,1712
3.1,5934
5.1,3755
0.7,257
3.7,909
2.9,909
2.8,320
9.8,416
0,198
1.1,848
7.7,530
