OPEID - Price,OPEID - 300,Name,NetPrice,DefRate,Program Length,College Type,Defaults,Loans
345900,3459,Black Hills State University,15008,9.3,8,1,115,1225
209500,2095,St Mary's College of Maryland,19711,2.3,8,1,8,343
105200,1052,University of Alabama at Birmingham,16092,5.9,8,1,253,4250
344600,3446,South Carolina State University,21058,12.5,8,1,163,1301
216100,2161,University of Massachusetts-Lowell,18348,5.1,8,1,185,3585
380500,3805,Yakima Valley College,7277,15.4,6,1,123,797
321600,3216,Portland State University,14481,6.6,8,1,473,7136
201700,2017,McNeese State University,9978,9.9,8,1,178,1795
161100,1611,University of Hawaii at Hilo,11697,7.5,8,1,76,1001
1009700,10097,CUNY Medgar Evers College,9901,8.6,6,1,62,717
332300,3323,Lock Haven University,16207,7.1,8,1,124,1732
221000,2210,University of Massachusetts-Dartmouth,16898,7,8,1,155,2203
391700,3917,University of Wisconsin-Eau Claire,14176,2.3,8,1,58,2468
363000,3630,Prairie View A & M University,9813,12.4,8,1,355,2854
575200,5752,Clover Park Technical College,6508,19.5,6,1,166,848
537300,5373,Lake Washington Institute of Technology,6824,9.4,6,1,53,562
202400,2024,Southeastern Louisiana University,10850,6.7,8,1,209,3118
227400,2274,Jackson College,7673,18.4,6,1,283,1535
374500,3745,University of Virginia-Main Campus,15945,0.9,8,1,26,2712
110700,1107,Southern Arkansas University Main Campus,11428,15.7,8,1,147,932
831000,8310,Auburn University at Montgomery,14518,11.5,8,1,189,1634
206200,2062,Bowie State University,13200,11.8,8,1,191,1606
315400,3154,East Central University,6853,11.7,8,1,129,1101
364200,3642,Texas Southern University,13919,8.8,8,1,293,3310
302600,3026,Central State University,10942,27.8,8,1,250,897
265400,2654,New Mexico Institute of Mining and Technology,13331,6.2,8,1,16,254
108900,1089,Arkansas Tech University,10887,10.8,8,1,295,2731
332200,3322,Kutztown University of Pennsylvania,19385,6.7,8,1,186,2753
218400,2184,Fitchburg State University,14361,6.3,8,1,75,1174
1092200,10922,University of Puerto Rico-Utuado,8018,9.7,6,1,96,988
332700,3327,Slippery Rock University of Pennsylvania,17443,5,8,1,127,2497
169200,1692,Illinois State University,18415,3.5,8,1,161,4552
974100,9741,The University of Texas at Dallas,10254,4.4,8,1,139,3128
253700,2537,The University of Montana-Western,10768,8.1,6,1,33,403
201000,2010,Louisiana State University and Agricultural & Mechanical College,15095,3.9,8,1,163,4124
159800,1598,University of Georgia,14956,2.4,8,1,129,5299
209900,2099,Towson University,15597,4.2,8,1,192,4522
253900,2539,Chadron State College,12766,8.5,8,1,68,793
298400,2984,University of North Carolina Wilmington,16218,3.5,8,1,106,2992
398100,3981,University of North Carolina School of the Arts,13452,5.9,8,1,11,185
332913,3329,Pennsylvania State University-Penn State Abington,12268,5.1,8,1,983,19227
392300,3923,University of Wisconsin-River Falls,14046,3.8,8,1,63,1656
258900,2589,University of New Hampshire-Main Campus,23066,2.3,8,1,88,3821
344900,3449,University of South Carolina-Aiken,14465,7,8,1,63,889
963500,9635,Florida International University,12966,5.3,8,1,542,10065
1011500,10115,The University of Texas at San Antonio,12107,6.6,8,1,491,7396
253100,2531,Montana Tech of the University of Montana,12385,12.4,8,1,81,653
298900,2989,Dickinson State University,11286,7,8,1,30,425
132100,1321,University of California-Santa Cruz,16261,3.6,8,1,123,3360
135000,1350,Colorado State University-Fort Collins,16232,2.8,8,1,155,5487
231500,2315,Schoolcraft College,4992,17.9,6,1,346,1929
295000,2950,North Carolina Central University,10835,8.3,8,1,222,2652
310000,3100,Ohio University-Main Campus,21899,9.7,8,1,946,9731
321100,3211,Oregon Institute of Technology,16425,5.5,8,1,51,921
1037400,10374,Metropolitan State University,15231,5.9,8,1,159,2673
377400,3774,Columbia Basin College,8033,11.8,6,1,59,496
269800,2698,College of Staten Island CUNY,10627,8.3,8,1,120,1441
314500,3145,Youngstown State University,11271,12.9,8,1,493,3803
218800,2188,Salem State University,16556,6.4,8,1,136,2096
201300,2013,Louisiana State University-Shreveport,8274,7.8,8,1,78,993
161000,1610,University of Hawaii at Manoa,13520,4.2,8,1,138,3285
347800,3478,Austin Peay State University,12688,10.5,8,1,335,3166
450900,4509,University of Colorado Colorado Springs,15248,6.9,8,1,179,2584
114900,1149,Humboldt State University,13147,6.8,8,1,141,2068
218700,2187,Massachusetts College of Liberal Arts,15035,7.4,8,1,37,500
298800,2988,Bismarck State College,9258,6.5,6,1,75,1143
199900,1999,University of Louisville,16249,6.8,8,1,309,4504
154100,1541,Abraham Baldwin Agricultural College,8123,11.1,6,1,106,950
392600,3926,University of Wisconsin-Whitewater,12849,5.1,8,1,144,2791
393200,3932,University of Wyoming,13155,4.9,8,1,105,2119
332918,3329,Pennsylvania State University-Penn State York,14516,5.1,8,1,983,19227
236000,2360,Minnesota State University-Mankato,13812,4.8,8,1,187,3852
344800,3448,University of South Carolina-Columbia,19913,2.3,8,1,145,6233
140600,1406,Southern Connecticut State University,14960,6.3,8,1,179,2820
993000,9930,The University of Texas of the Permian Basin,9109,8.5,8,1,80,931
114300,1143,California Polytechnic State University-San Luis Obispo,18530,1.5,8,1,45,2989
202000,2020,University of Louisiana at Monroe,9145,5.5,8,1,90,1618
114700,1147,California State University-Fresno,6177,5,8,1,194,3849
347000,3470,South Dakota School of Mines and Technology,19311,4.9,8,1,21,426
392100,3921,University of Wisconsin-Platteville,14341,3.9,8,1,83,2099
317400,3174,Oklahoma Panhandle State University,13150,12.8,6,1,58,452
697700,6977,Great Basin College,11484,15.5,6,1,29,187
372100,3721,James Madison University,16252,2.2,8,1,66,2946
284200,2842,SUNY Buffalo State,12046,8.3,8,1,273,3255
859600,8596,West Los Angeles College,8643,13.1,6,1,41,312
283700,2837,University at Buffalo,15987,3.3,8,1,185,5552
360600,3606,Sam Houston State University,12365,6.3,8,1,292,4602
